order_id,method,amount
ORD0000152,UPI,4625.400000000001
ORD0000153,Net Banking,1571.0
ORD0000154,UPI,504.88
ORD0000155,Card,1750.07
ORD0000156,Cash on Delivery,576.17
ORD0000157,UPI,4067.37
ORD0000158,UPI,3964.62
ORD0000159,UPI,1281.72
ORD0000160,Cash on Delivery,2329.2799999999997
ORD0000161,Net Banking,1529.1999999999998
ORD0000162,UPI,704.3599999999999
ORD0000163,Cash on Delivery,1496.29
ORD0000164,UPI,1756.4199999999998
ORD0000165,Cash on Delivery,4983.34
ORD0000166,Cash on Delivery,550.83
ORD0000167,Card,1390.85
ORD0000168,Cash on Delivery,4232.54
ORD0000169,Cash on Delivery,2979.19
ORD0000170,UPI,461.4
ORD0000171,UPI,701.83
ORD0000172,Wallet,853.06
ORD0000173,UPI,380.17
ORD0000174,UPI,404.02
ORD0000175,Cash on Delivery,344.15
ORD0000176,Wallet,2106.49
ORD0000177,Cash on Delivery,250.84
ORD0000178,UPI,2064.55
ORD0000179,Cash on Delivery,2359.12
ORD0000180,Net Banking,605.43
ORD0000181,UPI,666.46
ORD0000182,UPI,1462.6999999999998
ORD0000183,Cash on Delivery,438.87
ORD0000184,UPI,2297.48
ORD0000185,Net Banking,558.53
ORD0000186,Net Banking,426.17
ORD0000187,UPI,1609.3200000000002
ORD0000188,Cash on Delivery,1274.6
ORD0000189,UPI,592.38
ORD0000190,UPI,584.62
ORD0000191,Wallet,1267.74
ORD0000192,Cash on Delivery,4322.27
ORD0000193,UPI,774.3
ORD0000194,Cash on Delivery,1156.02
ORD0000195,Cash on Delivery,2269.2200000000003
ORD0000196,Card,1188.5
ORD0000197,UPI,167.81
ORD0000198,UPI,1084.85
ORD0000199,Cash on Delivery,2214.56
ORD0000200,UPI,413.88
ORD0000201,Wallet,2404.56
ORD0000202,UPI,2536.1800000000003
ORD0000203,Wallet,4203.95
ORD0000204,Card,5380.34
ORD0000205,UPI,1295.48
ORD0000206,UPI,1971.23
ORD0000207,Cash on Delivery,1650.49
ORD0000208,UPI,2559.18
ORD0000209,UPI,143.07
ORD0000210,UPI,1363.26
ORD0000211,Cash on Delivery,1623.08
ORD0000212,Cash on Delivery,1760.42
ORD0000213,UPI,444.25
ORD0000214,Cash on Delivery,152.74
ORD0000215,UPI,1518.5900000000001
ORD0000216,Net Banking,3294.16
ORD0000217,UPI,190.03
ORD0000218,Cash on Delivery,3013.79
ORD0000219,UPI,405.2
ORD0000220,UPI,849.95
ORD0000221,UPI,486.99
ORD0000222,Cash on Delivery,387.79
ORD0000223,Cash on Delivery,4425.48
ORD0000224,Net Banking,3217.1
ORD0000225,UPI,593.75
ORD0000226,Wallet,1704.56
ORD0000227,UPI,1581.3899999999999
ORD0000228,UPI,304.33
ORD0000229,Wallet,1352.3
ORD0000230,Card,4086.0600000000004
ORD0000231,Cash on Delivery,761.97
ORD0000232,Cash on Delivery,3591.25
ORD0000233,Cash on Delivery,615.76
ORD0000234,Cash on Delivery,473.34
ORD0000235,UPI,1044.47
ORD0000236,UPI,401.63
ORD0000237,Wallet,293.46
ORD0000238,Cash on Delivery,329.78
ORD0000239,Net Banking,845.25
ORD0000240,Net Banking,1152.34
ORD0000241,UPI,755.97
ORD0000242,Wallet,2198.8900000000003
ORD0000243,UPI,242.81
ORD0000244,Cash on Delivery,3313.41
ORD0000245,Wallet,5249.34
ORD0000246,UPI,1122.23
ORD0000247,Cash on Delivery,2205.08
ORD0000248,UPI,3750.06
ORD0000249,Cash on Delivery,647.9
ORD0000250,Wallet,613.54
ORD0000251,UPI,2551.72
ORD0000252,UPI,1571.98
ORD0000253,Cash on Delivery,2359.12
ORD0000254,Cash on Delivery,420.85
ORD0000255,Cash on Delivery,383.35
ORD0000256,UPI,631.09
ORD0000257,Cash on Delivery,183.75
ORD0000258,Cash on Delivery,174.06
ORD0000259,UPI,213.6
ORD0000260,UPI,258.21
ORD0000261,Cash on Delivery,1195.45
ORD0000262,UPI,850.09
ORD0000263,UPI,1130.11
ORD0000264,UPI,223.12
ORD0000265,Net Banking,875.81
ORD0000266,UPI,1640.13
ORD0000267,Cash on Delivery,209.14
ORD0000268,Net Banking,769.13
ORD0000269,Cash on Delivery,4327.3
ORD0000270,Cash on Delivery,5035.23
ORD0000271,UPI,437.36
ORD0000272,UPI,588.14
ORD0000273,UPI,843.87
ORD0000274,UPI,481.17
ORD0000275,Cash on Delivery,2701.7
ORD0000276,UPI,2607.62
ORD0000277,UPI,778.09
ORD0000278,Cash on Delivery,1468.3899999999999
ORD0000279,UPI,490.5
ORD0000280,UPI,2567.66
ORD0000281,UPI,1933.88
ORD0000282,UPI,1136.77
ORD0000283,UPI,4196.98
ORD0000284,UPI,4437.81
ORD0000285,Cash on Delivery,579.3
ORD0000286,Wallet,1425.02
ORD0000287,Wallet,1983.12
ORD0000288,Card,5356.5599999999995
ORD0000289,UPI,1059.15
ORD0000290,UPI,718.81
ORD0000291,Wallet,5973.42
ORD0000292,UPI,2395.98
ORD0000293,UPI,773.3199999999999
ORD0000294,UPI,1491.8
ORD0000295,Cash on Delivery,3110.83
ORD0000296,Cash on Delivery,1162.38
ORD0000297,UPI,387.15
ORD0000298,UPI,684.6800000000001
ORD0000299,UPI,730.36
ORD0000300,UPI,1227.18
ORD0000301,UPI,2731.77
ORD0000302,UPI,1172.45
ORD0000303,Wallet,3011.5
ORD0000304,Card,1292.34
ORD0000305,Card,1247.38
ORD0000306,Card,121.66
ORD0000307,UPI,2294.02
ORD0000308,Cash on Delivery,1292.52
ORD0000309,Cash on Delivery,1252.08
ORD0000310,Card,1634.15
ORD0000311,UPI,1994.53
ORD0000312,UPI,558.53
ORD0000313,UPI,602.35
ORD0000314,UPI,572.92
ORD0000315,UPI,3587.76
ORD0000316,UPI,2371.65
ORD0000317,Card,2087.2200000000003
ORD0000318,Cash on Delivery,236.51
ORD0000319,Cash on Delivery,2778.3900000000003
ORD0000320,Net Banking,4304.12
ORD0000321,UPI,2923.1
ORD0000322,Card,1946.4
ORD0000323,UPI,303.25
ORD0000324,Net Banking,1763.96
ORD0000325,Wallet,1681.06
ORD0000326,UPI,2147.85
ORD0000327,Cash on Delivery,465.89
ORD0000328,Cash on Delivery,3098.42
ORD0000329,Cash on Delivery,788.61
ORD0000330,Net Banking,2110.08
ORD0000331,UPI,320.6
ORD0000332,UPI,466.22
ORD0000333,Card,784.16
ORD0000334,Cash on Delivery,650.69
ORD0000335,UPI,4282.91
ORD0000336,UPI,1353.4
ORD0000337,UPI,2947.88
ORD0000338,UPI,1533.43
ORD0000339,Net Banking,664.37
ORD0000340,Cash on Delivery,1734.36
ORD0000341,Cash on Delivery,6817.73
ORD0000342,UPI,2054.9
ORD0000343,Cash on Delivery,378.87
ORD0000344,Card,991.03
ORD0000345,Cash on Delivery,4809.19
ORD0000346,UPI,1639.0
ORD0000347,Cash on Delivery,814.73
ORD0000348,UPI,1010.5699999999999
ORD0000349,UPI,3958.15
ORD0000350,Wallet,1970.1
ORD0000351,UPI,4676.37
ORD0000352,UPI,1536.62
ORD0000353,Cash on Delivery,143.99
ORD0000354,Cash on Delivery,471.73
ORD0000355,UPI,250.48
ORD0000356,UPI,2105.16
ORD0000357,UPI,1490.88
ORD0000358,Card,1103.42
ORD0000359,UPI,779.48
ORD0000360,UPI,3750.06
ORD0000361,Wallet,867.18
ORD0000362,UPI,844.53
ORD0000363,Cash on Delivery,858.85
ORD0000364,Cash on Delivery,465.51
ORD0000365,UPI,377.41
ORD0000366,Net Banking,1195.45
ORD0000367,UPI,445.83
ORD0000368,UPI,1258.85
ORD0000369,Cash on Delivery,272.58
ORD0000370,Cash on Delivery,614.61
ORD0000371,Net Banking,2791.39
ORD0000372,Net Banking,1785.08
ORD0000373,UPI,2228.83
ORD0000374,Cash on Delivery,3966.21
ORD0000375,Card,1327.37
ORD0000376,UPI,1291.86
ORD0000377,Cash on Delivery,3134.2
ORD0000378,Net Banking,861.39
ORD0000379,UPI,198.36
ORD0000380,UPI,338.74
ORD0000381,Cash on Delivery,1023.97
ORD0000382,UPI,2232.71
ORD0000383,UPI,1384.75
ORD0000384,Cash on Delivery,3560.58
ORD0000385,Wallet,456.29
ORD0000386,Cash on Delivery,1163.22
ORD0000387,Cash on Delivery,2724.04
ORD0000388,Cash on Delivery,991.56
ORD0000389,UPI,307.88
ORD0000390,UPI,818.5
ORD0000391,Card,1591.49
ORD0000392,UPI,4591.7
ORD0000393,Cash on Delivery,1070.53
ORD0000394,UPI,3249.0499999999997
ORD0000395,Cash on Delivery,5587.280000000001
ORD0000396,UPI,1635.18
ORD0000397,Net Banking,3472.87
ORD0000398,UPI,3863.69
ORD0000399,Card,1722.69
ORD0000400,UPI,534.66
ORD0000401,UPI,5076.85
ORD0000402,UPI,5433.99
ORD0000403,Cash on Delivery,2985.1899999999996
ORD0000404,UPI,1077.02
ORD0000405,Net Banking,2146.25
ORD0000406,Net Banking,728.82
ORD0000407,Cash on Delivery,2123.09
ORD0000408,UPI,2754.0699999999997
ORD0000409,UPI,2613.41
ORD0000410,UPI,2874.87
ORD0000411,Net Banking,1168.46
ORD0000412,UPI,597.69
ORD0000413,UPI,3929.4
ORD0000414,Cash on Delivery,741.12
ORD0000415,UPI,857.89
ORD0000416,Cash on Delivery,5652.5
ORD0000417,Cash on Delivery,1276.08
ORD0000418,UPI,210.94
ORD0000419,Cash on Delivery,2783.56
ORD0000420,Cash on Delivery,593.7
ORD0000421,Cash on Delivery,329.28
ORD0000422,Cash on Delivery,1961.63
ORD0000423,UPI,710.46
ORD0000424,Cash on Delivery,840.23
ORD0000425,Cash on Delivery,283.62
ORD0000426,Wallet,1145.29
ORD0000427,UPI,362.71
ORD0000428,Card,1903.76
ORD0000429,UPI,1674.84
ORD0000430,UPI,1073.3400000000001
ORD0000431,UPI,2549.85
ORD0000432,UPI,2027.95
ORD0000433,Cash on Delivery,2076.93
ORD0000434,Wallet,2706.1400000000003
ORD0000435,Cash on Delivery,387.79
ORD0000436,Cash on Delivery,2402.6
ORD0000437,Net Banking,553.25
ORD0000438,UPI,1249.04
ORD0000439,UPI,519.62
ORD0000440,Cash on Delivery,921.06
ORD0000441,Cash on Delivery,3535.95
ORD0000442,UPI,3168.62
ORD0000443,Card,623.29
ORD0000444,UPI,423.21
ORD0000445,Cash on Delivery,1046.58
ORD0000446,UPI,1812.63
ORD0000447,Card,1823.87
ORD0000448,UPI,1140.26
ORD0000449,Card,2132.0499999999997
ORD0000450,UPI,1270.97
ORD0000451,UPI,3112.33
ORD0000452,Cash on Delivery,1240.8600000000001
ORD0000453,Cash on Delivery,2984.9
ORD0000454,UPI,2107.29
ORD0000455,UPI,564.3
ORD0000456,Cash on Delivery,4593.88
ORD0000457,Cash on Delivery,2270.59
ORD0000458,UPI,1006.6
ORD0000459,Net Banking,376.77
ORD0000460,Cash on Delivery,3514.73
ORD0000461,UPI,659.14
ORD0000462,Wallet,1821.05
ORD0000463,Cash on Delivery,2147.8500000000004
ORD0000464,Cash on Delivery,3304.97
ORD0000465,Cash on Delivery,480.04
ORD0000466,Cash on Delivery,1971.9
ORD0000467,UPI,1798.88
ORD0000468,Net Banking,1383.9
ORD0000469,Cash on Delivery,392.08
ORD0000470,UPI,261.9
ORD0000471,Cash on Delivery,718.31
ORD0000472,UPI,309.25
ORD0000473,Cash on Delivery,2455.98
ORD0000474,Cash on Delivery,1233.84
ORD0000475,Wallet,147.55
ORD0000476,UPI,2044.44
ORD0000477,UPI,2472.04
ORD0000478,Cash on Delivery,4394.8
ORD0000479,UPI,1484.72
ORD0000480,UPI,1433.77
ORD0000481,Card,182.43
ORD0000482,UPI,3847.46
ORD0000483,UPI,347.98
ORD0000484,UPI,847.94
ORD0000485,Cash on Delivery,696.67
ORD0000486,Cash on Delivery,821.39
ORD0000487,Net Banking,1091.28
ORD0000488,Card,458.24
ORD0000489,UPI,247.38
ORD0000490,Cash on Delivery,1206.72
ORD0000491,UPI,1327.37
ORD0000492,Card,6557.01
ORD0000493,Cash on Delivery,671.77
ORD0000494,UPI,330.09
ORD0000495,UPI,164.89
ORD0000496,UPI,813.27
ORD0000497,UPI,808.2
ORD0000498,Cash on Delivery,1510.23
ORD0000499,Net Banking,542.11
ORD0000500,Cash on Delivery,2103.67
ORD0000501,Card,849.15
ORD0000502,UPI,763.77
ORD0000503,Wallet,325.64
ORD0000504,UPI,2314.6099999999997
ORD0000505,UPI,4210.950000000001
ORD0000506,Cash on Delivery,5573.6
ORD0000507,Net Banking,771.35
ORD0000508,Card,2724.51
ORD0000509,Net Banking,1698.27
ORD0000510,Cash on Delivery,203.14
ORD0000511,UPI,1572.32
ORD0000512,UPI,1324.5
ORD0000513,Card,705.67
ORD0000514,Cash on Delivery,1445.8200000000002
ORD0000515,UPI,2149.4
ORD0000516,UPI,3014.97
ORD0000517,Wallet,1647.24
ORD0000518,UPI,165.74
ORD0000519,Cash on Delivery,3094.5
ORD0000520,Wallet,480.96
ORD0000521,Card,165.56
ORD0000522,Cash on Delivery,412.16
ORD0000523,Wallet,3993.3
ORD0000524,Cash on Delivery,1462.04
ORD0000525,Cash on Delivery,712.38
ORD0000526,UPI,4154.25
ORD0000527,UPI,1755.3
ORD0000528,UPI,426.28
ORD0000529,UPI,6149.780000000001
ORD0000530,UPI,1465.87
ORD0000531,Card,217.45
ORD0000532,UPI,2469.16
ORD0000533,Card,320.6
ORD0000534,Cash on Delivery,303.38
ORD0000535,Cash on Delivery,1211.88
ORD0000536,Wallet,2085.77
ORD0000537,Cash on Delivery,2033.19
ORD0000538,Card,898.46
ORD0000539,UPI,1247.38
ORD0000540,UPI,1840.62
ORD0000541,UPI,3179.21
ORD0000542,Net Banking,1906.82
ORD0000543,UPI,1386.16
ORD0000544,Wallet,2993.72
ORD0000545,Card,1052.58
ORD0000546,UPI,1827.96
ORD0000547,Net Banking,992.36
ORD0000548,UPI,1564.0500000000002
ORD0000549,Cash on Delivery,4388.13
ORD0000550,UPI,3727.33
ORD0000551,UPI,7947.950000000001
ORD0000552,UPI,2099.59
ORD0000553,Net Banking,1046.68
ORD0000554,UPI,847.47
ORD0000555,UPI,3709.59
ORD0000556,Card,910.38
ORD0000557,UPI,1876.2400000000002
ORD0000558,Wallet,261.02
ORD0000559,UPI,4622.91
ORD0000560,Card,154.0
ORD0000561,Card,431.1
ORD0000562,UPI,725.79
ORD0000563,Cash on Delivery,2032.6799999999998
ORD0000564,UPI,592.53
ORD0000565,UPI,223.12
ORD0000566,Card,1586.47
ORD0000567,UPI,2441.25
ORD0000568,Card,2432.18
ORD0000569,Card,1147.21
ORD0000570,Cash on Delivery,1089.7
ORD0000571,Cash on Delivery,3542.42
ORD0000572,Wallet,3108.34
ORD0000573,Cash on Delivery,980.63
ORD0000574,Cash on Delivery,655.36
ORD0000575,Card,4350.48
ORD0000576,UPI,3494.88
ORD0000577,Cash on Delivery,164.89
ORD0000578,UPI,1050.04
ORD0000579,UPI,202.01
ORD0000580,Cash on Delivery,981.0
ORD0000581,Cash on Delivery,848.89
ORD0000582,Wallet,1116.81
ORD0000583,Net Banking,1144.71
ORD0000584,UPI,1844.5
ORD0000585,UPI,678.56
ORD0000586,Card,644.72
ORD0000587,Cash on Delivery,487.52
ORD0000588,Net Banking,544.06
ORD0000589,Cash on Delivery,2000.63
ORD0000590,Card,1657.31
ORD0000591,UPI,1367.31
ORD0000592,UPI,1542.0
ORD0000593,Net Banking,1544.79
ORD0000594,Cash on Delivery,705.67
ORD0000595,Cash on Delivery,2127.09
ORD0000596,UPI,721.48
ORD0000597,UPI,2532.96
ORD0000598,Cash on Delivery,769.77
ORD0000599,Card,309.25
ORD0000600,Cash on Delivery,1097.07
ORD0000601,Cash on Delivery,1610.14
ORD0000602,UPI,1062.03
ORD0000603,Card,3557.79
ORD0000604,Cash on Delivery,2159.77
ORD0000605,Wallet,1265.38
ORD0000606,UPI,3726.88
ORD0000607,Cash on Delivery,736.16
ORD0000608,Net Banking,1484.72
ORD0000609,UPI,4513.48
ORD0000610,UPI,1549.21
ORD0000611,Cash on Delivery,1976.3200000000002
ORD0000612,UPI,1220.35
ORD0000613,Net Banking,1183.01
ORD0000614,UPI,2754.79
ORD0000615,UPI,550.42
ORD0000616,Cash on Delivery,1143.19
ORD0000617,UPI,1978.93
ORD0000618,UPI,449.14
ORD0000619,Wallet,2606.61
ORD0000620,Cash on Delivery,632.12
ORD0000621,Wallet,1067.99
ORD0000622,Cash on Delivery,2076.78
ORD0000623,Wallet,1514.57
ORD0000624,UPI,416.41
ORD0000625,UPI,1595.23
ORD0000626,UPI,2875.38
ORD0000627,UPI,960.5
ORD0000628,UPI,2450.98
ORD0000629,Card,752.4200000000001
ORD0000630,Cash on Delivery,1278.16
ORD0000631,Card,7518.51
ORD0000632,Wallet,684.47
ORD0000633,UPI,2102.43
ORD0000634,UPI,613.54
ORD0000635,UPI,531.96
ORD0000636,Cash on Delivery,3925.58
ORD0000637,Wallet,1439.96
ORD0000638,Net Banking,566.17
ORD0000639,UPI,862.98
ORD0000640,Cash on Delivery,743.18
ORD0000641,Cash on Delivery,1659.08
ORD0000642,UPI,2939.32
ORD0000643,Cash on Delivery,3267.96
ORD0000644,Cash on Delivery,1451.1200000000001
ORD0000645,Cash on Delivery,415.07
ORD0000646,UPI,1341.26
ORD0000647,Cash on Delivery,1392.2
ORD0000648,Cash on Delivery,1259.81
ORD0000649,Wallet,887.96
ORD0000650,UPI,2756.96
ORD0000651,Cash on Delivery,2538.85
ORD0000652,UPI,742.71
ORD0000653,Wallet,1274.02
ORD0000654,Card,3954.34
ORD0000655,Cash on Delivery,866.9100000000001
ORD0000656,UPI,753.54
ORD0000657,Card,1182.12
ORD0000658,Cash on Delivery,3086.46
ORD0000659,UPI,959.3299999999999
ORD0000660,UPI,4227.72
ORD0000661,Net Banking,2190.3500000000004
ORD0000662,Card,1219.31
ORD0000663,Cash on Delivery,1226.83
ORD0000664,UPI,1091.28
ORD0000665,UPI,598.78
ORD0000666,Cash on Delivery,1136.77
ORD0000667,Cash on Delivery,2010.37
ORD0000668,UPI,1270.56
ORD0000669,Net Banking,675.04
ORD0000670,Wallet,280.06
ORD0000671,Cash on Delivery,247.38
ORD0000672,UPI,258.25
ORD0000673,Cash on Delivery,2316.3
ORD0000674,Cash on Delivery,290.97
ORD0000675,UPI,1444.76
ORD0000676,UPI,703.36
ORD0000677,Cash on Delivery,1626.24
ORD0000678,Wallet,8065.15
ORD0000679,UPI,959.9300000000001
ORD0000680,Cash on Delivery,1696.84
ORD0000681,UPI,2875.44
ORD0000682,Card,1819.4299999999998
ORD0000683,Cash on Delivery,414.86
ORD0000684,Wallet,7264.0599999999995
ORD0000685,UPI,4537.38
ORD0000686,Net Banking,1674.63
ORD0000687,Cash on Delivery,3759.13
ORD0000688,Net Banking,1626.33
ORD0000689,Card,619.28
ORD0000690,Cash on Delivery,4221.98
ORD0000691,Card,592.0
ORD0000692,Card,3162.41
ORD0000693,UPI,928.88
ORD0000694,UPI,365.9
ORD0000695,UPI,2623.94
ORD0000696,UPI,425.83
ORD0000697,UPI,2802.14
ORD0000698,Cash on Delivery,384.94
ORD0000699,UPI,190.29
ORD0000700,UPI,1288.79
ORD0000701,Card,3455.19
ORD0000702,UPI,2347.44
ORD0000703,UPI,1566.42
ORD0000704,Cash on Delivery,879.75
ORD0000705,Net Banking,1083.61
ORD0000706,Card,1797.57
ORD0000707,Cash on Delivery,348.28
ORD0000708,Net Banking,1766.3400000000001
ORD0000709,Cash on Delivery,132.97
ORD0000710,UPI,1685.7
ORD0000711,Card,723.88
ORD0000712,Wallet,278.49
ORD0000713,UPI,3265.3900000000003
ORD0000714,Cash on Delivery,2086.85
ORD0000715,Wallet,1855.46
ORD0000716,UPI,2429.62
ORD0000717,Net Banking,4006.3199999999997
ORD0000718,UPI,143.07
ORD0000719,Card,542.11
ORD0000720,Net Banking,9597.93
ORD0000721,UPI,6576.0
ORD0000722,UPI,1341.17
ORD0000723,Cash on Delivery,1197.56
ORD0000724,Cash on Delivery,370.88
ORD0000725,Cash on Delivery,3410.7799999999997
ORD0000726,Cash on Delivery,3962.0499999999997
ORD0000727,UPI,4319.88
ORD0000728,UPI,1809.16
ORD0000729,Cash on Delivery,368.57
ORD0000730,Card,2785.85
ORD0000731,UPI,515.24
ORD0000732,UPI,771.32
ORD0000733,Net Banking,6202.5
ORD0000734,UPI,1722.07
ORD0000735,UPI,5297.59
ORD0000736,Cash on Delivery,879.14
ORD0000737,UPI,1192.26
ORD0000738,UPI,3331.2200000000003
ORD0000739,Cash on Delivery,802.32
ORD0000740,UPI,637.01
ORD0000741,Cash on Delivery,1534.3
ORD0000742,UPI,294.13
ORD0000743,Wallet,260.52
ORD0000744,Net Banking,3620.08
ORD0000745,Cash on Delivery,1210.11
ORD0000746,UPI,624.66
ORD0000747,UPI,688.17
ORD0000748,Card,1584.66
ORD0000749,UPI,345.5
ORD0000750,Net Banking,488.14
ORD0000751,Cash on Delivery,577.49
ORD0000752,UPI,487.32
ORD0000753,Cash on Delivery,1392.1
ORD0000754,Cash on Delivery,3042.7900000000004
ORD0000755,Net Banking,2354.49
ORD0000756,Wallet,1298.86
ORD0000757,Cash on Delivery,3297.65
ORD0000758,Wallet,2876.43
ORD0000759,UPI,449.08
ORD0000760,Cash on Delivery,1234.69
ORD0000761,UPI,203.28
ORD0000762,UPI,2702.76
ORD0000763,Card,1367.79
ORD0000764,Cash on Delivery,1179.56
ORD0000765,Net Banking,3997.3
ORD0000766,Wallet,2846.46
ORD0000767,UPI,966.25
ORD0000768,Card,762.33
ORD0000769,Card,1876.7199999999998
ORD0000770,Net Banking,891.38
ORD0000771,Cash on Delivery,1201.45
ORD0000772,UPI,686.23
ORD0000773,Cash on Delivery,1150.04
ORD0000774,UPI,968.9300000000001
ORD0000775,Cash on Delivery,2395.3700000000003
ORD0000776,UPI,1589.75
ORD0000777,UPI,1096.8
ORD0000778,Cash on Delivery,667.97
ORD0000779,Wallet,289.48
ORD0000780,Wallet,344.47
ORD0000781,UPI,1755.08
ORD0000782,UPI,1785.91
ORD0000783,Wallet,271.4
ORD0000784,UPI,4336.7300000000005
ORD0000785,Cash on Delivery,277.44
ORD0000786,Net Banking,2669.22
ORD0000787,UPI,240.72
ORD0000788,Card,1675.05
ORD0000789,Cash on Delivery,1550.08
ORD0000790,Cash on Delivery,3100.08
ORD0000791,UPI,3320.82
ORD0000792,UPI,1494.7
ORD0000793,UPI,1294.27
ORD0000794,Net Banking,975.46
